user_id,event_id,event_type,event_sub_event,event_average_rating,adjusted_attendance_rate,clicks,user_encoded,event_encoded,event_type_encoded,event_sub_event_encoded
U4MVP4Y,E08M142,Poster Making,Competition,4.22,0.679,118.6,659,45,4,1
U4MVP4Y,E09C100,Concerts,Cultural,3.36,0.859,285.7,659,48,0,2
U4MVP4Y,E06C100,Concerts,Cultural,3.07,0.556,222.3,659,30,0,2
U4MVP4Y,E11T100,Speed,Technical,3.54,0.796,183.6,659,65,7,3
UU9UDHV,E01M100,Sketching,Competition,3.9,0.467,55.2,4200,2,6,1
UU9UDHV,E04M142,Poster Making,Competition,4.2,0.649,55.2,4200,21,4,1
UU9UDHV,E03M100,Sketching,Competition,3.97,0.605,26.8,4200,14,6,1
UU9UDHV,E09R100,Webinar,Career,4.49,0.862,261.2,4200,52,8,0
UNYGZGK,E04M100,Sketching,Competition,4.87,0.789,184.3,3377,20,6,1
UNYGZGK,E02R100,Webinar,Career,4.23,0.632,215.3,3377,10,8,0
UNYGZGK,E04T100,Nimbus,Technical,3.85,0.335,16.0,3377,23,2,3
UNYGZGK,E05T100,Speed,Technical,3.39,0.627,291.3,3377,29,7,3
UNYGZGK,E08R100,Webinar,Career,3.61,0.754,251.4,3377,46,8,0
UHTGGVA,E01M100,Sketching,Competition,4.34,0.484,71.6,2504,2,6,1
UHTGGVA,E03C100,Garba Night,Cultural,4.21,0.405,62.7,2504,12,1,2
UHTGGVA,E12R100,Webinar,Career,4.98,0.384,63.2,2504,70,8,0
UHTGGVA,E02M142,Poster Making,Competition,3.94,0.595,98.2,2504,9,4,1
U6ENEC2,E09C121,Poetry,Cultural,3.78,0.802,162.2,906,49,3,2
UE0PA4T,E01C100,Garba Night,Cultural,5.0,0.473,135.3,1994,0,1,2
UE0PA4T,E04M142,Poster Making,Competition,3.67,0.605,94.5,1994,21,4,1
UE0PA4T,E02T100,Nimbus,Technical,4.51,0.513,187.4,1994,11,2,3
UC8AWXY,E09C100,Concerts,Cultural,4.16,0.462,50.5,1734,48,0,2
UC8AWXY,E05C100,Garba Night,Cultural,4.45,0.473,94.7,1734,24,1,2
UVXUJ54,E11R100,Webinar,Career,3.05,0.446,116.2,4447,64,8,0
UVXUJ54,E11T100,Nimbus,Technical,5.0,0.795,142.3,4447,65,2,3
UVXUJ54,E03C121,Poetry,Cultural,4.4,0.782,237.7,4447,13,3,2
UUWVSLH,E06R100,Webinar,Career,4.65,0.508,67.9,4291,34,8,0
UUWVSLH,E10M142,Poster Making,Competition,3.8,0.448,159.1,4291,57,4,1
UFTHJ4O,E11T100,Reload,Technical,4.77,0.752,181.8,2231,65,5,3
UFTHJ4O,E06M100,Sketching,Competition,4.27,0.609,23.5,2231,32,6,1
UFTHJ4O,E04T100,Reload,Technical,4.03,0.812,186.2,2231,23,5,3
UFTHJ4O,E12T100,Reload,Technical,5.0,0.548,59.5,2231,71,5,3
UJ4FCOJ,E12T100,Reload,Technical,3.28,0.328,28.9,2702,71,5,3
UJ4FCOJ,E06T100,Speed,Technical,4.06,0.6,285.2,2702,35,7,3
UJ4FCOJ,E01M142,Poster Making,Competition,3.71,0.787,290.0,2702,3,4,1
UJ4FCOJ,E01C121,Poetry,Cultural,4.16,0.6,244.4,2702,1,3,2
UZ16UHZ,E07M100,Sketching,Competition,4.92,0.623,98.3,4843,38,6,1
U6ZGYO0,E01R100,Webinar,Career,3.89,0.666,38.3,987,4,8,0
U6ZGYO0,E05C100,Concerts,Cultural,4.14,0.66,208.4,987,24,0,2
U6ZGYO0,E06C100,Garba Night,Cultural,4.51,0.51,137.6,987,30,1,2
U6ZGYO0,E07M142,Poster Making,Competition,4.31,0.478,45.4,987,39,4,1
U6ZGYO0,E03M100,Sketching,Competition,3.62,0.611,153.6,987,14,6,1
UGPIPYJ,E06M100,Sketching,Competition,3.76,0.493,20.0,2344,32,6,1
UGPIPYJ,E05C121,Poetry,Cultural,3.35,0.595,273.7,2344,25,3,2
UWVLLGC,E06R100,Webinar,Career,4.07,0.386,85.0,4570,34,8,0
UWVLLGC,E07T100,Speed,Technical,4.28,0.633,202.1,4570,41,7,3
UWVLLGC,E03T100,Reload,Technical,4.44,0.57,100.4,4570,17,5,3
U1SNJ5B,E10T100,Speed,Technical,3.87,0.541,160.8,269,59,7,3
U1SNJ5B,E06R100,Webinar,Career,3.96,0.507,168.5,269,34,8,0
U1SNJ5B,E08M100,Sketching,Competition,3.43,0.419,63.6,269,44,6,1
U1SNJ5B,E07M100,Sketching,Competition,4.97,0.928,291.2,269,38,6,1
U2FIN3U,E09M100,Sketching,Competition,4.01,0.576,234.8,363,50,6,1
US8W7NS,E10T100,Reload,Technical,4.01,0.926,282.5,3946,59,5,3
US8W7NS,E11M142,Poster Making,Competition,3.87,0.689,269.5,3946,63,4,1
US8W7NS,E06R100,Webinar,Career,3.24,0.585,183.4,3946,34,8,0
UQF1TWL,E08R100,Webinar,Career,3.85,0.907,277.3,3731,46,8,0
U6XHO25,E01C100,Garba Night,Cultural,3.48,0.412,35.7,979,0,1,2
